"product_id","product_title","review_count"
"B0009X29WK","Precious Cat Ultra Premium Clumping Cat Litter",5277
"B000L3XYZ4","PetSafe Drinkwell Platinum Pet Fountain",4562
"B005E2S77C","Omega Paw Self-Cleaning Litter Box, Pewter",3925
"B00CD0H1ZC","DakPets Dog Brush & Cat Brush For Small, Medium & Large Dogs and Cats, With Short to Long Hair. Dramatically Reduces Shedding In Minutes",3802
"B000634MH8","Pioneer Pet SmartCat The Ultimate Scratching Post",3659
"B00063446M","Drinkwell Original Pet Fountain",3500
"B0002DHV16","Cat Dancer - Cat Charmer Wand Teaser Toy",3008
"B000MD57OO","Solvit PupSTEP Plus Pet Stairs",2999
"B0002D31QU","PetSafe Gentle Spray Bark Collar for Dogs, Citronella, Anti-Bark Device, Water Resistant",2996
"B000FSN0A4","FURminator Large Yellow deShedding Tool with 4-Inch Edge",2732
"B0040QQ07C","FURminator deShedding Tool for Dogs",2600
"B000IYSAIW","Bergan Turbo Scratcher Cat Toy, Colors may vary",2595
"B001DCAAP4","DuraScoop Jumbo Cat Litter Scoop, All Metal End-to-End with Solid Core, Sifter with Deep Shovel, Multi-Cat Tested Accept No Substitute for the Original (colors may vary)",2535
"B0002I0O60","Outward Hound Hide-A-Squirrel and Puzzle Plush Squeaking Toys for Dogs",2498
"B00BJLS55G","Stainless Steel Pet Id Tags, Personalized Dog Tags & Cat Tags. Up to 8 Lines of Text – Engraved Front & Back. Bone, Round, Heart, Flower, Shield, House, Star, Rectangle, & Bow Tie.",2439
"B004X6UEH6","PetFusion Ultimate Cat Scratcher Lounge. [Superior Cardboard & Construction]",2425
"B001LWRFW2","Catit Design Senses Play Circuit, Original",2408
"B0002AT3M4","MidWest Life Stages Heavy-Duty Folding Metal Dog Crates; Single Door & Double Door Dog Crates w/ Divider Panel, Floor Protecting “Roller” Feet & Leak-Proof Plastic Pan",2389
"B000JJDI0G","Carlson Extra Wide Pet Gate, with small pet door",2387
"B000UZNLGA","PetSafe Outdoor Ultrasonic Bark Deterrent",2371
