"review_id","customer_id","product_id","product_parent","review_date"
"R100065P6TTS3J",42711834,"B000HHM6PS",64793786,"2014-04-06"
"R10007MH6NTVFM",25105396,"B0090Z9FFC",675354291,"2015-06-24"
"R1000CIZTRNP23",25423435,"B00K1B6RCI",308737701,"2015-03-06"
"R1000DL08MOV57",13165224,"B0006L2PCO",976701490,"2015-04-12"
"R1000JOVLD0J41",34245087,"B000TZ7022",870738517,"2010-11-13"
"R1000UXWQ98MHM",13985888,"B005A3FEDA",981310986,"2014-06-22"
"R1000XI3RGG11D",5408554,"B00164U144",858949723,"2014-10-07"
"R1000YCFR347I2",48610961,"B00CO527IC",935823254,"2014-09-05"
"R1000ZYX4P32OD",27895609,"B002DXCQMM",184150150,"2015-02-27"
"R100157X8F89QG",23774314,"B0000CE02I",177638251,"2010-03-23"
"R10015VI9KRLUW",18810197,"B005IZOB5M",259423137,"2014-03-27"
"R1001DE2Z14SAS",22128604,"B00CNC0TIQ",127117159,"2014-12-02"
"R1001EZEQATIT7",48320175,"B005Z6UL1M",529948569,"2013-04-23"
"R1001FD4FDB2SW",2793332,"B000GEBZBI",852101185,"2014-08-26"
"R1001G5Q9040QA",10332926,"B00QT9NAEY",187467865,"2014-12-26"
"R1001GM3VGO4JC",18963082,"B009V78J0G",926543045,"2014-08-18"
"R1001KC9GI6ARJ",11232277,"B0080YGXPE",551772997,"2015-04-16"
"R1001LGHA5NQKS",37666116,"B00CKFL93K",338879043,"2014-04-14"
"R1001RSHOZYRB6",25116815,"B003TWKJQQ",188103873,"2014-08-14"
"R1001T0JNBRBS9",6219052,"B005CO91TK",56263948,"2014-10-01"
"R1001T2I1VIHIX",50681614,"B003WGGWQA",91529005,"2014-01-30"
"R1001UUMGPQ3OQ",21855085,"B000COGXAA",460191385,"2012-08-11"
"R1001YJQFL9DRH",34475476,"B0002HBMZI",990222326,"2014-02-18"
"R10020A9SCBAJ3",19316796,"B000IYSAIW",741698804,"2015-05-06"
"R10020RIB2J04N",336847,"B00Z9BOLUA",934176913,"2015-06-14"
"R1002131H73NJQ",14804837,"B003DR0HBY",121607608,"2014-08-09"
"R10021HAOETLRB",47153002,"B0024WBVCS",386705652,"2013-08-16"
"R100235DMREFTJ",36868095,"B0051BGOJ4",311835533,"2015-04-10"
"R10023QW434A1Y",38857084,"B003FJ1H6O",878307353,"2014-01-04"
"R10028U5DWK097",13627855,"B0002AR5BA",820427766,"2013-08-25"
"R1002BIIYM94MY",42064414,"B001F2GDJ4",686817824,"2014-08-28"
"R1002CUV62U9AQ",7965633,"B00LHY07UQ",388038129,"2015-05-14"
"R1002FT3EBJWX8",11802082,"B000L3XYZ4",501118658,"2014-12-29"
"R1002H7KA53310",18649696,"B008WE5V0K",922297729,"2014-02-25"
"R1002HN867SXW7",50643865,"B0002DIOCG",542550516,"2013-02-08"
"R1002J06UQ9VY8",50845362,"B0051BGO4E",924576778,"2014-07-06"
"R1002NK95AMUZ2",26737890,"B001UIGQ22",587516736,"2014-01-01"
"R1002QAV1M869K",22179776,"B003ZMGC6G",141974440,"2015-07-04"
"R1002QW1P0OM93",20993228,"B000QFR638",662568494,"2015-03-05"
"R1002VM1TSC84H",35666331,"B000BLMWD6",411701026,"2013-03-31"
"R1003589QJP5L6",19197103,"B00KQGRIKI",109918876,"2015-04-23"
"R10037MJ9LKCVM",31187480,"B000QJD7RI",216796091,"2014-07-09"
"R1003B0PJ6PTDV",52568222,"B003BK9XPY",685019446,"2014-01-28"
"R1003BRYNHTCKR",39146519,"B00025JZ86",42080266,"2014-08-19"
"R1003FAIY018FM",16601850,"B000FOX6A2",673480362,"2013-04-05"
"R1003QLO21CXJS",39306566,"B007D7U5SK",443533657,"2014-05-14"
"R1003QUFS67YVG",53089309,"B002KIS782",820933322,"2010-03-04"
"R1003QUWVH33OD",3015232,"B0002HBLK4",146042498,"2014-12-13"
"R1003R2D1TB5A7",47853667,"B000FJX7YW",949892324,"2014-11-17"
"R1003RDFKLQDNR",51333000,"B00HV2PVRM",85365062,"2015-08-31"
"R1003S2OGS1P0B",39061957,"B000XE90FY",945388761,"2013-09-28"
"R1003VMD1IR3S9",41927805,"B000COADEM",57553936,"2013-11-27"
"R1003WQ2N568UJ",30984122,"B000HCJX2C",561470701,"2015-07-16"
"R1003ZPR1Z4KJ3",37553120,"B008TYSZ1A",115779993,"2013-03-01"
"R1003ZVG4CL418",43757745,"B000OQR7C4",686171389,"2015-07-25"
"R10042LDIKZN7Q",48983314,"B000K6TZEQ",681731420,"2010-06-07"
"R10042UE4ZRFMZ",50082318,"B000W5N24O",889574469,"2009-12-24"
"R10043LHZ3CEET",43219049,"B000O8OLS0",469521388,"2015-08-10"
"R10043RAUP87P5",48608708,"B001F6XPLY",751890714,"2014-11-16"
"R1004445PJW6QF",25426107,"B008LTIP7W",903496403,"2015-05-18"
"R10045NFDNLU4U",38693775,"B004FVYF92",863784827,"2015-02-03"
"R10046SFZVX7B",52656557,"B00K95C6AS",817672188,"2015-06-03"
"R10047EFLDBB6K",46972328,"B003SN5YKC",541327282,"2011-08-01"
"R10049ER8H6B4H",51882340,"B0026JAKWG",21229284,"2011-01-09"
"R1004BQMRCM8BC",14081961,"B000XJN4QA",248653798,"2015-03-20"
"R1004DELCRQFT6",35895000,"B008JGIYVE",319548364,"2014-06-28"
"R1004EZA3OASMT",15509407,"B0009YYQ4S",455866213,"2011-12-14"
"R1004G3W0IK2G6",4467536,"B000HHO7DW",576786493,"2015-02-26"
"R1004HD6R46KUJ",28570156,"B00XDCNPAY",615687696,"2015-07-02"
"R1004IIWC3YUXP",10265226,"B000GLOFTU",502882142,"2013-12-30"
"R1004K3SCII00W",19666572,"B003ZYF1TI",221639285,"2014-10-16"
"R1004KE3RGAWH0",30514709,"B008ESY894",268030921,"2015-06-12"
"R1004MQX4RQP04",19012530,"B001VP59KO",758317264,"2015-08-25"
"R1004NI3IL6PKR",44400749,"B00J5KGZE6",195544084,"2015-06-28"
"R1004OFK0BIRO3",27253416,"B002MY58G8",165494310,"2013-02-24"
"R1004OG2SMUFGY",48403965,"B0009XSXZM",47626204,"2015-03-22"
"R1004RAQKF5NNB",17335629,"B001650OE0",683454619,"2014-12-30"
"R1004VG4PSXLIY",43746592,"B005KSHXEI",777407382,"2013-12-30"
"R1005064LX1RG",18424732,"B00UA74JXW",374875047,"2015-08-25"
"R100576EW6J72X",13418537,"B008BGRXXM",600857723,"2014-05-17"
"R10057PI119T31",28024191,"B00CUH36ZM",532130864,"2015-02-05"
"R1005EEEHUMAOV",16857384,"B00M9F8D4Y",173682544,"2014-11-22"
"R1005ELI0D4GSG",20477467,"B000MT59DW",183254529,"2011-09-11"
"R1005HI5DS3ZTL",52182643,"B001TM70SS",626408872,"2014-02-24"
"R1005JH04MHVDJ",33911824,"B00AQ4DSUY",54669569,"2015-05-14"
"R1005MXH81QWHL",46118197,"B0002AR182",92305418,"2014-01-14"
"R1005QD6752YWU",51869043,"B002CRTN48",509009218,"2012-05-23"
"R1005R5MAKT275",48907860,"B00M2K9XMM",939311258,"2015-02-01"
"R1005RBKBEM17G",22081337,"B001E0L5YA",641542453,"2013-10-17"
"R1005TBOF984UM",51394752,"B000P7JKD6",50243684,"2012-05-30"
"R1005UIOAQEMLW",37457517,"B000F5CDJG",909403576,"2015-02-21"
"R1005VMT0E345F",38309775,"B00CFI2ULW",594598827,"2015-01-01"
"R1005VQRWAH3RM",10354900,"B009XD3SKE",255669612,"2015-02-17"
"R10060FLI507JX",12505859,"B000L3XYZ4",501118658,"2015-01-10"
"R100647ITY5MAX",51703216,"B0002AQM5U",922518177,"2015-04-14"
"R10065IG5A87VZ",42195961,"B007UI91OG",423070859,"2015-05-09"
"R1006A9A20D0PH",14538576,"B008CY3STG",821677125,"2013-11-24"
"R1006AGAZV54G0",52332735,"B004M3IKSU",254096894,"2014-12-26"
"R1006BO4DMPE0K",22756793,"B00CD6LYD6",19412506,"2013-09-22"
"R1006CNCT32VNM",33446775,"B0000AVVPU",924272488,"2008-07-19"
